"team1_name","team1_rank","team1_score","team2_name","team2_rank","team2_score","round","year"
"Georgia Tech","3","67","Oklahoma State","2 ","65","4",2004
"Duke","1 ","78","UConn","2","79","4",2004
"Georgia Tech","3 ","73","UConn","2","82","2",2004
"Kentucky","1","96","Florida A&M","16 ","76","64",2004
"Washington","8 ","100","UAB","9","102","64",2004
"Providence","5 ","58","Pacific","12","66","64",2004
"Kansas","4","78","UIC","13 ","53","64",2004
"Boston College","6","58","Utah","11 ","51","64",2004
"Georgia Tech","3","65","Northern Iowa","14 ","60","64",2004
"Michigan State","7 ","66","Nevada","10","72","64",2004
"Gonzaga","2","76","Valparaiso","15 ","49","64",2004
"Kentucky","1 ","75","UAB","9","76","32",2004
"Pacific","12 ","63","Kansas","4","78","32",2004
"Boston College","6 ","54","Georgia Tech","3","57","32",2004
"Nevada","10","91","Gonzaga","2 ","72","32",2004
"UAB","9 ","74","Kansas","4","100","16",2004
"Georgia Tech","3","72","Nevada","10 ","67","16",2004
"Kansas","4 ","71","Georgia Tech","3","79","8",2004
"Saint Joe's","1","82","Liberty","16 ","63","64",2004
"Texas Tech","8","76","Charlotte","9 ","73","64",2004
"Florida","5 ","60","Manhattan","12","75","64",2004
"Wake Forest","4","79","VCU","13 ","78","64",2004
"Wisconsin","6","76","Richmond","11 ","64","64",2004
"Pitt","3","53","UCF","14 ","44","64",2004
"Memphis","7","59","South Carolina","10 ","43","64",2004
"Oklahoma State","2","75","E Washington","15 ","56","64",2004
"Saint Joe's","1","70","Texas Tech","8 ","65","32",2004
"Manhattan","12 ","80","Wake Forest","4","84","32",2004
"Wisconsin","6 ","55","Pitt","3","59","32",2004
"Memphis","7 ","53","Oklahoma State","2","70","32",2004
"Saint Joe's","1","84","Wake Forest","4 ","80","16",2004
"Pitt","3 ","51","Oklahoma State","2","63","16",2004
"Saint Joe's","1 ","62","Oklahoma State","2","64","8",2004
"Duke","1","96","Alabama State","16 ","61","64",2004
"Seton Hall","8","80","Arizona","9 ","76","64",2004
"Illinois","5","72","Murray State","12 ","53","64",2004
"Cincinnati","4","80","ETSU","13 ","77","64",2004
"UNC","6","63","Air Force","11 ","52","64",2004
"Texas","3","66","Princeton","14 ","49","64",2004
"Xavier","7","80","Louisville","10 ","70","64",2004
"Miss St","2","85","Monmouth","15 ","52","64",2004
"Duke","1","90","Seton Hall","8 ","62","32",2004
"Illinois","5","92","Cincinnati","4 ","68","32",2004
"UNC","6 ","75","Texas","3","78","32",2004
"Xavier","7","89","Miss St","2 ","74","32",2004
"Duke","1","72","Illinois","5 ","62","16",2004
"Texas","3 ","71","Xavier","7","79","16",2004
"Duke","1","66","Xavier","7 ","63","8",2004
"Stanford","1","71","UTSA","16 ","45","64",2004
"Alabama","8","65","S Illinois","9 ","64","64",2004
"Syracuse","5","80","BYU","12 ","75","64",2004
"Maryland","4","86","UTEP","13 ","83","64",2004
"Vanderbilt","6","71","W Michigan","11 ","58","64",2004
"NC State","3","61","UL Lafayette","14 ","52","64",2004
"DePaul","7","76","Dayton","10 ","69","64",2004
"UConn","2","70","Vermont","15 ","53","64",2004
"Stanford","1 ","67","Alabama","8","70","32",2004
"Syracuse","5","72","Maryland","4 ","70","32",2004
"Vanderbilt","6","75","NC State","3 ","73","32",2004
"DePaul","7 ","55","UConn","2","72","32",2004
"Alabama","8","80","Syracuse","5 ","71","16",2004
"Vanderbilt","6 ","53","UConn","2","73","16",2004
"Alabama","8 ","71","UConn","2","87","8",2004
"Illinois","1","72","Louisville","4 ","57","4",2005
"UNC","1","87","Michigan State","5 ","71","4",2005
"Illinois","1 ","70","UNC","1","75","2",2005
"Illinois","1","67","Fair Dickinson","16 ","55","64",2005
"Texas","8 ","57","Nevada","9","61","64",2005
"Alabama","5 ","73","Milwaukee","12","83","64",2005
"Boston College","4","85","Penn","13 ","65","64",2005
"LSU","6 ","68","UAB","11","82","64",2005
"Arizona","3","66","Utah State","14 ","53","64",2005
"S Illinois","7","65","Saint Mary's","10 ","56","64",2005
"Oklahoma State","2","63","SE Louisiana","15 ","50","64",2005
"Illinois","1","71","Nevada","9 ","59","32",2005
"Milwaukee","12","83","Boston College","4 ","75","32",2005
"UAB","11 ","63","Arizona","3","85","32",2005
"S Illinois","7 ","77","Oklahoma State","2","85","32",2005
"Illinois","1","77","Milwaukee","12 ","63","16",2005
"Arizona","3","79","Oklahoma State","2 ","78","16",2005
"Illinois","1","90","Arizona","3 ","89","8",2005
"Washington","1","88","Montana","16 ","77","64",2005
"Pacific","8","79","Pitt","9 ","71","64",2005
"Georgia Tech","5","80","G Washington","12 ","68","64",2005
"Louisville","4","68","UL Lafayette","13 ","62","64",2005
"Texas Tech","6","78","UCLA","11 ","66","64",2005
"Gonzaga","3","74","Winthrop","14 ","64","64",2005
"West Virginia","7","63","Creighton","10 ","61","64",2005
"Wake Forest","2","70","Chattanooga","15 ","54","64",2005
"Washington","1","97","Pacific","8 ","79","32",2005
"Georgia Tech","5 ","54","Louisville","4","76","32",2005
"Texas Tech","6","71","Gonzaga","3 ","69","32",2005
"West Virginia","7","111","Wake Forest","2 ","105","32",2005
"Washington","1 ","79","Louisville","4","93","16",2005
"Texas Tech","6 ","60","West Virginia","7","65","16",2005
"Louisville","4","93","West Virginia","7 ","85","8",2005
"UNC","1","96","Oakland","16 ","68","64",2005
"Minnesota","8 ","53","Iowa State","9","64","64",2005
"Villanova","5","55","New Mexico","12 ","47","64",2005
"Florida","4","67","Ohio","13 ","62","64",2005
"Wisconsin","6","57","Northern Iowa","11 ","52","64",2005
"Kansas","3 ","63","Bucknell","14","64","64",2005
"Charlotte","7 ","63","NC State","10","75","64",2005
"UConn","2","77","UCF","15 ","71","64",2005
"UNC","1","92","Iowa State","9 ","65","32",2005
"Villanova","5","76","Florida","4 ","65","32",2005
"Wisconsin","6","71","Bucknell","14 ","62","32",2005
"NC State","10","65","UConn","2 ","62","32",2005
"UNC","1","67","Villanova","5 ","66","16",2005
"Wisconsin","6","65","NC State","10 ","56","16",2005
"UNC","1","88","Wisconsin","6 ","82","8",2005
"Duke","1","57","Delaware State","16 ","46","64",2005
"Stanford","8 ","70","Miss St","9","93","64",2005
"Michigan State","5","89","Old Dominion","12 ","81","64",2005
"Syracuse","4 ","57","Vermont","13","60","64",2005
"Utah","6","60","UTEP","11 ","54","64",2005
"Oklahoma","3","84","Niagara","14 ","67","64",2005
"Cincinnati","7","76","Iowa","10 ","64","64",2005
"Kentucky","2","72","E Kentucky","15 ","64","64",2005
"Duke","1","63","Miss St","9 ","55","32",2005
"Michigan State","5","72","Vermont","13 ","61","32",2005
"Utah","6","67","Oklahoma","3 ","58","32",2005
"Cincinnati","7 ","60","Kentucky","2","69","32",2005
"Duke","1 ","68","Michigan State","5","78","16",2005
"Utah","6 ","52","Kentucky","2","62","16",2005
"Michigan State","5","94","Kentucky","2 ","88","8",2005
"LSU","4 ","45","UCLA","2","59","4",2006
"George Mason","11 ","58","Florida","3","73","4",2006
"UCLA","2 ","57","Florida","3","73","2",2006
"Duke","1","70","Southern","16 ","54","64",2006
"G Washington","8","88","UNC Wilmington","9 ","85","64",2006
"Syracuse","5 ","58","Texas A&M","12","66","64",2006
"LSU","4","80","Iona","13 ","64","64",2006
"West Virginia","6","64","S Illinois","11 ","46","64",2006
"Iowa","3 ","63","Northwestern St","14","64","64",2006
"Cal","7 ","52","NC State","10","58","64",2006
"Texas","2","60","Penn","15 ","52","64",2006
"Duke","1","74","G Washington","8 ","61","32",2006
"Texas A&M","12 ","57","LSU","4","58","32",2006
"West Virginia","6","67","Northwestern St","14 ","54","32",2006
"NC State","10 ","54","Texas","2","75","32",2006
"Duke","1 ","54","LSU","4","62","16",2006
"West Virginia","6 ","71","Texas","2","74","16",2006
"LSU","4","70","Texas","2 ","60","8",2006
"Memphis","1","94","Oral Roberts","16 ","78","64",2006
"Arkansas","8 ","55","Bucknell","9","59","64",2006
"Pitt","5","79","Kent State","12 ","64","64",2006
"Kansas","4 ","73","Bradley","13","77","64",2006
"Indiana","6","87","San Diego State","11 ","83","64",2006
"Gonzaga","3","79","Xavier","14 ","75","64",2006
"Marquette","7 ","85","Alabama","10","90","64",2006
"UCLA","2","78","Belmont","15 ","44","64",2006
"Memphis","1","72","Bucknell","9 ","56","32",2006
"Pitt","5 ","66","Bradley","13","72","32",2006
"Indiana","6 ","80","Gonzaga","3","90","32",2006
"Alabama","10 ","59","UCLA","2","62","32",2006
"Memphis","1","80","Bradley","13 ","64","16",2006
"Gonzaga","3 ","71","UCLA","2","73","16",2006
"Memphis","1 ","45","UCLA","2","50","8",2006
"UConn","1","72","Albany","16 ","59","64",2006
"Kentucky","8","69","UAB","9 ","64","64",2006
"Washington","5","75","Utah State","12 ","61","64",2006
"Illinois","4","78","Air Force","13 ","69","64",2006
"Michigan State","6 ","65","George Mason","11","75","64",2006
"UNC","3","69","Murray State","14 ","65","64",2006
"Wichita State","7","86","Seton Hall","10 ","66","64",2006
"Tennessee","2","63","Winthrop","15 ","61","64",2006
"UConn","1","87","Kentucky","8 ","83","32",2006
"Washington","5","67","Illinois","4 ","64","32",2006
"George Mason","11","65","UNC","3 ","60","32",2006
"Wichita State","7","80","Tennessee","2 ","73","32",2006
"UConn","1","98","Washington","5 ","92","16",2006
"George Mason","11","63","Wichita State","7 ","55","16",2006
"UConn","1 ","84","George Mason","11","86","8",2006
"Villanova","1","58","Monmouth","16 ","45","64",2006
"Arizona","8","94","Wisconsin","9 ","75","64",2006
"Nevada","5 ","79","Montana","12","87","64",2006
"Boston College","4","88","Pacific","13 ","76","64",2006
"Oklahoma","6 ","74","Milwaukee","11","82","64",2006
"Florida","3","76","South Alabama","14 ","50","64",2006
"Georgetown","7","54","Northern Iowa","10 ","49","64",2006
"OSU","2","70","Davidson","15 ","62","64",2006
"Villanova","1","82","Arizona","8 ","78","32",2006
"Montana","12 ","56","Boston College","4","69","32",2006
"Milwaukee","11 ","60","Florida","3","82","32",2006
"Georgetown","7","70","OSU","2 ","52","32",2006
"Villanova","1","60","Boston College","4 ","59","16",2006
"Florida","3","57","Georgetown","7 ","53","16",2006
"Villanova","1 ","62","Florida","3","75","8",2006
"Florida","1","76","UCLA","2 ","66","4",2007
"Georgetown","2 ","60","OSU","1","67","4",2007
"Florida","1","84","OSU","1 ","75","2",2007
"Florida","1","112","Jackson State","16 ","69","64",2007
"Arizona","8 ","63","Purdue","9","72","64",2007
"Butler","5","57","Old Dominion","12 ","46","64",2007
"Maryland","4","82","Davidson","13 ","70","64",2007
"Notre Dame","6 ","64","Winthrop","11","74","64",2007
"Oregon","3","58","Miami (OH)","14 ","56","64",2007
"UNLV","7","67","Georgia Tech","10 ","63","64",2007
"Wisconsin","2","76","Texas A&M-CC","15 ","63","64",2007
"Florida","1","74","Purdue","9 ","67","32",2007
"Butler","5","62","Maryland","4 ","59","32",2007
"Winthrop","11 ","61","Oregon","3","75","32",2007
"UNLV","7","74","Wisconsin","2 ","68","32",2007
"Florida","1","65","Butler","5 ","57","16",2007
"Oregon","3","76","UNLV","7 ","72","16",2007
"Florida","1","85","Oregon","3 ","77","8",2007
"Kansas","1","107","Niagara","16 ","67","64",2007
"Kentucky","8","67","Villanova","9 ","58","64",2007
"Virginia Tech","5","54","Illinois","12 ","52","64",2007
"S Illinois","4","61","Holy Cross","13 ","51","64",2007
"Duke","6 ","77","VCU","11","79","64",2007
"Pitt","3","79","Wright State","14 ","58","64",2007
"Indiana","7","70","Gonzaga","10 ","57","64",2007
"UCLA","2","70","Weber State","15 ","42","64",2007
"Kansas","1","88","Kentucky","8 ","76","32",2007
"Virginia Tech","5 ","48","S Illinois","4","63","32",2007
"VCU","11 ","79","Pitt","3","84","32",2007
"Indiana","7 ","49","UCLA","2","54","32",2007
"Kansas","1","61","S Illinois","4 ","58","16",2007
"Pitt","3 ","55","UCLA","2","64","16",2007
"Kansas","1 ","55","UCLA","2","68","8",2007
"UNC","1","86","E Kentucky","16 ","65","64",2007
"Marquette","8 ","49","Michigan State","9","61","64",2007
"USC","5","77","Arkansas","12 ","60","64",2007
"Texas","4","79","New Mexico St","13 ","67","64",2007
"Vanderbilt","6","77","G Washington","11 ","44","64",2007
"Washington St","3","70","Oral Roberts","14 ","54","64",2007
"Boston College","7","84","Texas Tech","10 ","75","64",2007
"Georgetown","2","80","Belmont","15 ","55","64",2007
"UNC","1","81","Michigan State","9 ","67","32",2007
"USC","5","87","Texas","4 ","68","32",2007
"Vanderbilt","6","78","Washington St","3 ","74","32",2007
"Boston College","7 ","55","Georgetown","2","62","32",2007
"UNC","1","74","USC","5 ","64","16",2007
"Vanderbilt","6 ","65","Georgetown","2","66","16",2007
"UNC","1 ","84","Georgetown","2","96","8",2007
"OSU","1","78","Cent Conn St","16 ","57","64",2007
"BYU","8 ","77","Xavier","9","79","64",2007
"Tennessee","5","121","Long Beach St","12 ","86","64",2007
"UVA","4","84","Albany","13 ","57","64",2007
"Louisville","6","78","Stanford","11 ","58","64",2007
"Texas A&M","3","68","Penn","14 ","52","64",2007
"Nevada","7","77","Creighton","10 ","71","64",2007
"Memphis","2","73","North Texas","15 ","58","64",2007
"OSU","1","78","Xavier","9 ","71","32",2007
"Tennessee","5","77","UVA","4 ","74","32",2007
"Louisville","6 ","69","Texas A&M","3","72","32",2007
"Nevada","7 ","62","Memphis","2","78","32",2007
"OSU","1","85","Tennessee","5 ","84","16",2007
"Texas A&M","3 ","64","Memphis","2","65","16",2007
"OSU","1","92","Memphis","2 ","76","8",2007
"UNC","1 ","66","Kansas","1","84","4",2008
"Memphis","1","78","UCLA","1 ","63","4",2008
"Memphis","1 ","68","Kansas","1","75","2",2008
"UNC","1","113","Mt St Mary's","16 ","74","64",2008
"Indiana","8 ","72","Arkansas","9","86","64",2008
"Notre Dame","5","68","George Mason","12 ","50","64",2008
"Washington St","4","71","Winthrop","13 ","40","64",2008
"Oklahoma","6","72","Saint Joe's","11 ","64","64",2008
"Louisville","3","79","Boise State","14 ","61","64",2008
"Butler","7","81","South Alabama","10 ","61","64",2008
"Tennessee","2","72","American U","15 ","57","64",2008
"UNC","1","108","Arkansas","9 ","77","32",2008
"Notre Dame","5 ","41","Washington St","4","61","32",2008
"Oklahoma","6 ","48","Louisville","3","78","32",2008
"Butler","7 ","71","Tennessee","2","76","32",2008
"UNC","1","68","Washington St","4 ","47","16",2008
"Louisville","3","79","Tennessee","2 ","60","16",2008
"UNC","1","83","Louisville","3 ","73","8",2008
"Kansas","1","85","Portland State","16 ","61","64",2008
"UNLV","8","71","Kent State","9 ","58","64",2008
"Clemson","5 ","69","Villanova","12","75","64",2008
"Vanderbilt","4 ","62","Siena","13","83","64",2008
"USC","6 ","67","Kansas State","11","80","64",2008
"Wisconsin","3","71","CSU Fullerton","14 ","56","64",2008
"Gonzaga","7 ","76","Davidson","10","82","64",2008
"Georgetown","2","66","UMBC","15 ","47","64",2008
"Kansas","1","75","UNLV","8 ","56","32",2008
"Villanova","12","84","Siena","13 ","72","32",2008
"Kansas State","11 ","55","Wisconsin","3","72","32",2008
"Davidson","10","74","Georgetown","2 ","70","32",2008
"Kansas","1","72","Villanova","12 ","57","16",2008
"Wisconsin","3 ","56","Davidson","10","73","16",2008
"Kansas","1","59","Davidson","10 ","57","8",2008
"Memphis","1","87","UT Arlington","16 ","63","64",2008
"Miss St","8","76","Oregon","9 ","69","64",2008
"Michigan State","5","72","Temple","12 ","61","64",2008
"Pitt","4","82","Oral Roberts","13 ","63","64",2008
"Marquette","6","74","Kentucky","11 ","66","64",2008
"Stanford","3","77","Cornell","14 ","53","64",2008
"Miami","7","78","Saint Mary's","10 ","64","64",2008
"Texas","2","74","Austin Peay","15 ","54","64",2008
"Memphis","1","77","Miss St","8 ","74","32",2008
"Michigan State","5","65","Pitt","4 ","54","32",2008
"Marquette","6 ","81","Stanford","3","82","32",2008
"Miami","7 ","72","Texas","2","75","32",2008
"Memphis","1","92","Michigan State","5 ","74","16",2008
"Stanford","3 ","62","Texas","2","82","16",2008
"Memphis","1","85","Texas","2 ","67","8",2008
"UCLA","1","70","Miss Valley St","16 ","29","64",2008
"BYU","8 ","62","Texas A&M","9","67","64",2008
"Drake","5 ","99","W Kentucky","12","101","64",2008
"UConn","4 ","69","San Diego","13","70","64",2008
"Purdue","6","90","Baylor","11 ","79","64",2008
"Xavier","3","73","Georgia","14 ","61","64",2008
"West Virginia","7","75","Arizona","10 ","65","64",2008
"Duke","2","71","Belmont","15 ","70","64",2008
"UCLA","1","51","Texas A&M","9 ","49","32",2008
"W Kentucky","12","72","San Diego","13 ","63","32",2008
"Purdue","6 ","78","Xavier","3","85","32",2008
"West Virginia","7","73","Duke","2 ","67","32",2008
"UCLA","1","88","W Kentucky","12 ","78","16",2008
"Xavier","3","79","West Virginia","7 ","75","16",2008
"UCLA","1","76","Xavier","3 ","57","8",2008
"Michigan State","2","82","UConn","1 ","73","4",2009
"Villanova","3 ","69","UNC","1","83","4",2009
"Michigan State","2 ","72","UNC","1","89","2",2009
"Louisville","1","74","Morehead State","16 ","54","64",2009
"OSU","8 ","72","Siena","9","74","64",2009
"Utah","5 ","71","Arizona","12","84","64",2009
"Wake Forest","4 ","69","Cleveland State","13","84","64",2009
"West Virginia","6 ","60","Dayton","11","68","64",2009
"Kansas","3","84","North Dakota St","14 ","74","64",2009
"Boston College","7 ","55","USC","10","72","64",2009
"Michigan State","2","77","Robert Morris","15 ","62","64",2009
"Louisville","1","79","Siena","9 ","72","32",2009
"Arizona","12","71","Cleveland State","13 ","57","32",2009
"Dayton","11 ","43","Kansas","3","60","32",2009
"USC","10 ","69","Michigan State","2","74","32",2009
"Louisville","1","103","Arizona","12 ","64","16",2009
"Kansas","3 ","62","Michigan State","2","67","16",2009
"Louisville","1 ","52","Michigan State","2","64","8",2009
"UConn","1","103","Chattanooga","16 ","47","64",2009
"BYU","8 ","66","Texas A&M","9","79","64",2009
"Purdue","5","61","Northern Iowa","12 ","56","64",2009
"Washington","4","71","Miss St","13 ","58","64",2009
"Marquette","6","58","Utah State","11 ","57","64",2009
"Missouri","3","78","Cornell","14 ","59","64",2009
"Cal","7 ","71","Maryland","10","84","64",2009
"Memphis","2","81","CSU Northridge","15 ","70","64",2009
"UConn","1","92","Texas A&M","9 ","66","32",2009
"Purdue","5","76","Washington","4 ","74","32",2009
"Marquette","6 ","79","Missouri","3","83","32",2009
"Maryland","10 ","70","Memphis","2","89","32",2009
"UConn","1","72","Purdue","5 ","60","16",2009
"Missouri","3","102","Memphis","2 ","91","16",2009
"UConn","1","82","Missouri","3 ","75","8",2009
"Pitt","1","72","ETSU","16 ","62","64",2009
"Oklahoma State","8","77","Tennessee","9 ","75","64",2009
"Florida State","5 ","59","Wisconsin","12","61","64",2009
"Xavier","4","77","Portland State","13 ","59","64",2009
"UCLA","6","65","VCU","11 ","64","64",2009
"Villanova","3","80","American U","14 ","67","64",2009
"Texas","7","76","Minnesota","10 ","62","64",2009
"Duke","2","86","Binghamton","15 ","62","64",2009
"Pitt","1","84","Oklahoma State","8 ","76","32",2009
"Wisconsin","12 ","49","Xavier","4","60","32",2009
"UCLA","6 ","69","Villanova","3","89","32",2009
"Texas","7 ","69","Duke","2","74","32",2009
"Pitt","1","60","Xavier","4 ","55","16",2009
"Villanova","3","77","Duke","2 ","54","16",2009
"Pitt","1 ","76","Villanova","3","78","8",2009
"UNC","1","101","Radford","16 ","58","64",2009
"LSU","8","75","Butler","9 ","71","64",2009
"Illinois","5 ","72","W Kentucky","12","76","64",2009
"Gonzaga","4","77","Akron","13 ","64","64",2009
"Arizona State","6","66","Temple","11 ","57","64",2009
"Syracuse","3","59","SF Austin","14 ","44","64",2009
"Clemson","7 ","59","Michigan","10","62","64",2009
"Oklahoma","2","82","Morgan State","15 ","54","64",2009
"UNC","1","84","LSU","8 ","70","32",2009
"W Kentucky","12 ","81","Gonzaga","4","83","32",2009
"Arizona State","6 ","67","Syracuse","3","78","32",2009
"Michigan","10 ","63","Oklahoma","2","73","32",2009
"UNC","1","98","Gonzaga","4 ","77","16",2009
"Syracuse","3 ","71","Oklahoma","2","84","16",2009
"UNC","1","72","Oklahoma","2 ","60","8",2009
"Michigan State","5 ","50","Butler","5","52","4",2010
"West Virginia","2 ","57","Duke","1","78","4",2010
"Butler","5 ","59","Duke","1","61","2",2010
"Kansas","1","90","Lehigh","16 ","74","64",2010
"UNLV","8 ","66","Northern Iowa","9","69","64",2010
"Michigan State","5","70","New Mexico St","12 ","67","64",2010
"Maryland","4","89","Houston","13 ","77","64",2010
"Tennessee","6","62","San Diego State","11 ","59","64",2010
"Georgetown","3 ","83","Ohio","14","97","64",2010
"Oklahoma State","7 ","59","Georgia Tech","10","64","64",2010
"OSU","2","68","UCSB","15 ","51","64",2010
"Kansas","1 ","67","Northern Iowa","9","69","32",2010
"Michigan State","5","85","Maryland","4 ","83","32",2010
"Tennessee","6","83","Ohio","14 ","68","32",2010
"Georgia Tech","10 ","66","OSU","2","75","32",2010
